source,author,title,description,url,publishedAt,content
Gwern.net,Gwern,Human-Like Neural Nets by Catapulting,Speculative proposal to create artificial neural nets with human-like performance by high-learning-rate/regularization training of overparameterized NNs to trigger catapulting/grokking. Over-parameterization as a route to true generalization would resolve man…,https://gwern.net/llm-catapult,2026-06-06T23:45:36Z,"What all of these anomalies seem to share is a core of scaling-law-like relationship of parameters, memorization, generalization, and traininga multi-way bias-variance tradeoff, where different syste… [+25972 chars]"
Doubleword.ai,,Prediction: A Frontier open-source LLM Will Be Released On 3rd December 2026,Using artificial analysis benchmarks we try to predict when an open source LLM will be released that matches frontier LLMs.,https://blog.doubleword.ai/frontier-os-llm,2026-06-26T21:14:47Z,"Interactive plot of the Artificial Analysis Intelligence Index for open and closed frontier models.
I have seen a version of the above plot going around Twitter and wanted to dig a bit deeper into i… [+2962 chars]"
CNET,Laura Michelle Davis,Apple's Price Hikes Aren't Just an AI Problem,Commentary: The boom in artificial intelligence is causing a memory chip shortage. Apple decided to make us pay for it.,https://www.cnet.com/news/apple-price-hikes-not-unavoidable-blame-ai-boom/,2026-06-28T11:01:09Z,"Last week, in an exclusive interview with the Wall Street Journal, outgoing Apple CEO Tim Cook warned that the memory chip crunch made price increases ""unavoidable."" He also made what seemed like a p… [+10095 chars]"
Wired,Emily Mullin,OpenAI and Anthropic Sign Letter to Prevent AI-Developed Biological Weapons,"Leading AI labs, executives, and scientists are sending a letter to lawmakers urging them to improve tracking of synthetic DNA sequences that could be used for bioweapons.",https://www.wired.com/story/openai-anthropic-letter-ai-biological-weapons/,2026-06-04T01:01:00Z,The CEOs of several major artificial intelligence companies are urging members of Congress to adopt new laws that would make it harder for bad actors to develop biological weapons using their technol… [+4381 chars]
Techdirt,Daily Deal,Daily Deal: The Ultimate Python & Artificial Intelligence Bundle,"The Ultimate Python and Artificial Intelligence Bundle has 9 courses to help you take your Python and AI knowledge to the next level. You’ll learn about data pre-processing and visualization, artificial neural networks, how to use the Keras framework, and mor…",http://www.techdirt.com/2026/06/09/daily-deal-the-ultimate-python-artificial-intelligence-bundle-7/,2026-06-09T18:06:28Z,"from the good-deals-on-cool-stuff dept
The Ultimate Python and Artificial Intelligence Bundle has 9 courses to help you take your Python and AI knowledge to the next level. You’ll learn about data p… [+361 chars]"
Golem.de,The New York Times Magazine,(g+) Artificial Intelligence: Who Will Actually Thrive in the Hybrid A.I.-Human Work Force,"A panel of experts explains how job seekers should prepare for the future of work. (KI, Silicon Valley)",https://www.golem.de/sonstiges/zustimmung/auswahl.html?from=https%3A%2F%2Fwww.golem.de%2Fnews%2Fartificial-intelligence-who-will-actually-thrive-in-the-hybrid-a-i-human-work-force-2606-209730.html&referer=https%3A%2F%2Ft.co%2Ffb7952bb34,2026-06-15T08:57:02Z,"Besuchen Sie Golem.de wie gewohnt mit Werbung und Tracking,
 indem Sie der Nutzung aller Cookies zustimmen.
 Details zum Tracking finden Sie im Privacy Center.
Skript wurde nicht geladen. Informat… [+607 chars]"
Slashdot.org,EditorDavid,Several US States Bet That AI Can Solve Their Prison Recidivism Crisis,"America's state prison systems need ways ""to keep people from returning to prison,"" reports the Wall Street Journal, ""when an estimated 40% end up back behind bars within three years.""

Part of the problem comes in the form of filing cabinets, manila folders …",https://news.slashdot.org/story/26/06/21/2340231/several-us-states-bet-that-ai-can-solve-their-prison-recidivism-crisis,2026-06-22T11:34:00Z,"Part of the problem comes in the form of filing cabinets, manila folders and legacy digital databases. In other words, records for a single prisoner might be kept in a dozen places... Now a group of … [+964 chars]"
Slashdot.org,EditorDavid,Dell Stock Surges 32% in One Day. Big Revenue From AI Servers Stuns Analysts,"Dell's stock skyrocketed 32.76% on Friday, ""its best day ever,"" reports CNBC, after Dell ""reported its fastest pace for revenue growth for any period since returning to the public market in 2018..."" 

""Shares are now up 234% in 2026.""

Dell, which reported fi…",https://slashdot.org/story/26/05/29/2033206/dell-stock-surges-32-in-one-day-big-revenue-from-ai-servers-stuns-analysts,2026-05-29T23:34:00Z,"Dell's stock skyrocketed 32.76% on Friday, ""its best day ever,"" reports CNBC, after Dell ""reported its fastest pace for revenue growth for any period since returning to the public market in 2018...""""… [+1111 chars]"
Business Insider,Melia Russell,Score 1 for AI. Law firm staffed by bots wins a case in an English court.,"Garfield, a tech startup that is also a regulated law firm, cinches a victory for a client — and for robo-lawyers everywhere.",https://www.businessinsider.com/ai-law-firm-garfield-helps-freelancer-win-court-case-2026-6#article,2026-06-24T18:25:59Z,"Andrew Aitchison/Getty Images
<ul><li>Garfield, an AI-powered law firm, has helped a freelancer win a court case in England.</li><li>The freelancer used Garfield's software to draft a legal letter t… [+3672 chars]"
Business Insider,Kelsey Vlamis,Read Sam Altman's plan for OpenAI as it enters its 'third phase',"OpenAI's Sam Altman outlines AI's third phase, focusing on abundance, safety, and global collaboration as the company plans an IPO.",https://www.businessinsider.com/sam-altman-openai-third-phase-plan-2026-6,2026-06-08T22:34:23Z,"Sam Altman and OpenAI's chief scientist shared their plans for the ""third phase"" of the company.Kyle Grillot/Bloomberg via Getty Images
<ul><li>OpenAI CEO Sam Altman and its chief scientist say the … [+2878 chars]"
Business Insider,Melia Russell,He built tech to connect the Israeli army's data. Now he has $14 million from VCs to do it for companies.,Israeli startup Upriver has raised $14 million to help companies clean up and manage the business data that AI tools need to work reliably.,https://www.businessinsider.com/israel-startup-upriver-raises-14-million-ai-data-engineering-2026-6,2026-06-11T09:30:01Z,"Ido Bronstein and Omri Lifshitz.Upriver
<ul><li>Israeli startup Upriver has raised $14 million to improve AI data management for companies.</li><li>The founders' military experience in data intellig… [+3732 chars]"
Golem.de,George Hammond,(g+) Artificial Intelligence: Anthropic finalises $65bn funding deal to surpass OpenAI's valuation,"New round values Claude AI maker at $965bn including the latest money
Anthropic has raised $65bn in a funding round that will nearly treble the start-up's valuation and see it leapfrog arch-rival OpenAI as the most valuable AI lab. (Anthropic, KI)",https://www.golem.de/sonstiges/zustimmung/auswahl.html?from=https%3A%2F%2Fwww.golem.de%2Fnews%2Fartificial-intelligence-anthropic-finalises-65bn-funding-deal-to-surpass-openai-s-valuation-2605-209189.html&referer=https%3A%2F%2Ft.co%2F0039202b33,2026-05-29T09:15:02Z,"Besuchen Sie Golem.de wie gewohnt mit Werbung und Tracking,
 indem Sie der Nutzung aller Cookies zustimmen.
 Details zum Tracking finden Sie im Privacy Center.
Skript wurde nicht geladen. Informat… [+607 chars]"
Golem.de,Eli Saslow,(g+) Artificial Intelligence: The World's Leading Deepfake Expert No Longer Trusts His Own Eyes,"In the age of A.I., Hany Farid is struggling to prove what's real before the internet decides for itself. Von Eli Saslow (Deepfake, KI)",https://www.golem.de/sonstiges/zustimmung/auswahl.html?from=https%3A%2F%2Fwww.golem.de%2Fnews%2Fartificial-intelligence-the-world-s-leading-deepfake-expert-no-longer-trusts-his-own-eyes-2606-210039.html&referer=https%3A%2F%2Ft.co%2F1fac83382d,2026-06-22T13:30:02Z,"Besuchen Sie Golem.de wie gewohnt mit Werbung und Tracking,
 indem Sie der Nutzung aller Cookies zustimmen.
 Details zum Tracking finden Sie im Privacy Center.
Skript wurde nicht geladen. Informat… [+607 chars]"
Golem.de,Jamie John,(g+) Artificial Intelligence: 'We created a monster': companies rein in AI usage as costs strain budgets,"Amazon, Walmart and Uber are among early adopters that have introduced caps or discouraged wasteful activity Von Jamie John, Rafe Rosner-Uddin und Ryan McMorrow (KI, Amazon)",https://www.golem.de/sonstiges/zustimmung/auswahl.html?from=https%3A%2F%2Fwww.golem.de%2Fnews%2Fartificial-intelligence-we-created-a-monster-companies-rein-in-ai-usage-as-costs-strain-budgets-2606-209981.html&referer=https%3A%2F%2Ft.co%2F10d8b6c2f2,2026-06-19T13:45:01Z,"Besuchen Sie Golem.de wie gewohnt mit Werbung und Tracking,
 indem Sie der Nutzung aller Cookies zustimmen.
 Details zum Tracking finden Sie im Privacy Center.
Skript wurde nicht geladen. Informat… [+607 chars]"
Nature.com,Mariana Lenharo,How good are ‘AI doctors’ — and will they take over medicine?,Nature talks to specialists about whether people might soon be diagnosed by artificial-intelligence systems.,https://www.nature.com/articles/d41586-026-01691-6,2026-06-03T00:00:00Z,"At least one clinical trial is in the works that aims to test the ability of an AI doctor to take a patients information and propose a diagnosis.Credit: andrei_r/Getty
AI outperforms doctors in emer… [+3951 chars]"
Nature.com,David Payne,AI in science recruitment: friend or foe? Join our free webinar,"Discover the strengths, limitations and risks associated with using artificial intelligence in your science job applications.",https://www.nature.com/articles/d41586-026-01774-4,2026-06-03T00:00:00Z,"A free webinar will explore the pros and cons of using AI to recruit scientists.Credit: Catherine McQueen/Getty
Artificial intelligence can help in drafting job advertisements, processing applicatio… [+394 chars]"
Nature.com,Mariana Lenharo,Is AI ruining our skills? Early results are in — and they’re not good,"Reliance on artificial-intelligence tools degrades the abilities of physicians and software engineers, studies show.",https://www.nature.com/articles/d41586-026-01947-1,2026-06-18T00:00:00Z,Physicians own ability to spot pre-cancerous growths during colonoscopies declined after they had grown accustomed to using an artificial-intelligence tool to help with the task.Credit: Gabrielle Voi… [+3368 chars]
Nature.com,Miryam Naddaf,Human migration has surged since 2000 — these maps reveal where people are going,"Modelling with artificial-intelligence tools has filled gaps in migration data, revealing detailed global population movements from 1990 to 2023.",https://www.nature.com/articles/d41586-026-01796-y,2026-06-10T00:00:00Z,"Ukrainian immigrants living in Spain take part in a procession through the streets of Madrid. Credit: Aaron Heredia/NurPhoto via Getty
Global migration has increased from 13 million people per year … [+3178 chars]"
Slashdot.org,EditorDavid,Scroll Burned in 79 AD Volcanic Eruption Finally Deciphered Using AI,"When Mt. Vesuvius erupted in 79 A.D., it buried hundreds of papyrus
scrolls. They were rediscovered in the mid-1700s, remembers Smithsonian magazine, ""the only
surviving collection of its kind from the Greco-Roman
world..."" 



""But when scholars tried to unr…",https://science.slashdot.org/story/26/06/27/1825220/scroll-burned-in-79-ad-volcanic-eruption-finally-deciphered-using-ai,2026-06-27T19:34:00Z,"When Mt. Vesuvius erupted in 79 A.D., it buried hundreds of papyrus
scrolls. They were rediscovered in the mid-1700s, remembers Smithsonian magazine, ""the only
surviving collection of its kind from… [+1880 chars]"
